id,title,keywords,ratings,confidences,withdraw,review_lengths
kRvZ2PcsxjJj,Quantum reinforcement learning ,"['quantum reinforcement learning', 'multi-agent', 'quantum technology', 'control optimization', 'quantum circuit']","[1, 1, 1, 1]","[5, 5, 5, 5]",0,"[45, 49, 25, 283]"
RUzSobdYy0V,Quantifying and Mitigating the Impact of Label Errors on Model Disparity Metrics,[],"[5, 6, 8]","[4, 3, 3]",0,"[443, 274, 401]"
N3kGYG3ZcTi,Suppression helps: Lateral Inhibition-inspired Convolutional Neural Network for Image Classification,"['Lateral Inhibition', 'Convolutional Neural Networks']","[3, 5, 3, 1]","[5, 5, 5, 5]",0,"[333, 360, 362, 304]"
tmIiMPl4IPa,Factorized Fourier Neural Operators,"['fourier transform', 'fourier operators', 'pde', 'navier stokes']","[8, 6, 3, 8, 3]","[5, 4, 4, 2, 2]",0,"[203, 142, 323, 520, 635]"
mhnHqRqcjYU,DFPC: Data flow driven pruning of coupled channels without data.,"['Pruning', 'Data Free', 'Model Compression']","[8, 6, 6]","[3, 2, 3]",0,"[302, 90, 257]"
sZI1Oj9KBKy,TVSPrune - Pruning Non-discriminative filters via Total Variation separability of intermediate representations without fine tuning,"['Structured pruning', 'model compression']","[8, 6, 5, 3]","[3, 3, 4, 4]",0,"[489, 749, 509, 258]"
I3HCE7Ro78H,Adversarial Training descends without descent: Finding actual descent directions based on Danskin's theorem,"['Adversarial Training', 'Adversarial Examples', 'non-convex optimization', 'robustness']","[6, 6, 8, 6]","[4, 2, 4, 4]",0,"[422, 236, 1051, 561]"
9Zx6tTcX0SE,A Study of Biologically Plausible Neural Network: the Role and Interactions of Brain-Inspired Mechanisms in Continual Learning,"['Continual Learning', 'Catastrophic Forgetting', 'Brain-inspired Mechanisms', 'Active Dendrites', ""Dale's Principle"", 'Hebbian Learning', 'Sparsity']","[3, 6, 3, 8]","[3, 4, 4, 4]",0,"[227, 193, 387, 465]"
6iEoTr-jeB7,Learning Continuous Normalizing Flows For Faster Convergence To Target Distribution via Ascent Regularizations,"['normalizing flows', 'gradient flows', 'density estimation', 'unbiased sampling', 'variational inference']","[5, 8, 6]","[3, 3, 4]",0,"[623, 399, 236]"
Vx6G9W5M4sQ,pFedKT: Personalized Federated Learning via Knowledge Transfer,"['Personalized Federated Learning', 'Knowledge Transfer', 'Local Hypernetwork', 'Contrastive Learning']","[3, 5, 5]","[3, 5, 4]",0,"[985, 352, 405]"
